"rentdate","gender","volume"
"2019-01-01",NULL,"264"
"2019-01-01","male","729"
"2019-01-01","female","312"
"2019-01-02",NULL,"130"
"2019-01-02","male","1946"
"2019-01-02","female","556"
"2019-01-03",NULL,"142"
"2019-01-03","male","2217"
"2019-01-03","female","646"
"2019-01-04",NULL,"185"
"2019-01-04","male","2525"
"2019-01-04","female","687"
"2019-01-05",NULL,"35"
"2019-01-05","male","553"
"2019-01-05","female","198"
"2019-01-06",NULL,"156"
"2019-01-06","male","1080"
"2019-01-06","female","395"
"2019-01-07",NULL,"73"
"2019-01-07","male","2187"
"2019-01-07","female","614"
"2019-01-08",NULL,"91"
"2019-01-08","male","2249"
"2019-01-08","female","641"
"2019-01-09",NULL,"110"
"2019-01-09","male","2576"
"2019-01-09","female","699"
"2019-01-10",NULL,"96"
"2019-01-10","male","2577"
"2019-01-10","female","659"
"2019-01-11",NULL,"98"
"2019-01-11","male","1998"
"2019-01-11","female","544"
"2019-01-12",NULL,"68"
"2019-01-12","male","876"
"2019-01-12","female","292"
"2019-01-13",NULL,"72"
"2019-01-13","male","844"
"2019-01-13","female","253"
"2019-01-14",NULL,"89"
"2019-01-14","male","2322"
"2019-01-14","female","597"
"2019-01-15",NULL,"97"
"2019-01-15","male","2519"
"2019-01-15","female","694"
"2019-01-16",NULL,"115"
"2019-01-16","male","2707"
"2019-01-16","female","733"
"2019-01-17",NULL,"84"
"2019-01-17","male","2416"
"2019-01-17","female","644"
"2019-01-18",NULL,"168"
"2019-01-18","male","2459"
"2019-01-18","female","665"
"2019-01-19",NULL,"122"
"2019-01-19","male","948"
"2019-01-19","female","307"
"2019-01-21",NULL,"1"
"2019-01-21","male","133"
"2019-01-21","female","21"
"2019-01-22",NULL,"24"
"2019-01-22","male","782"
"2019-01-22","female","163"
"2019-01-23",NULL,"52"
"2019-01-23","male","1450"
"2019-01-23","female","311"
"2019-01-24",NULL,"54"
"2019-01-24","male","1140"
"2019-01-24","female","299"
"2019-01-25",NULL,"115"
"2019-01-25","male","2307"
"2019-01-25","female","597"
"2019-01-26",NULL,"190"
"2019-01-26","male","1162"
"2019-01-26","female","379"
"2019-01-27",NULL,"264"
"2019-01-27","male","1249"
"2019-01-27","female","400"
"2019-01-28",NULL,"116"
"2019-01-28","male","2471"
"2019-01-28","female","681"
"2019-01-29",NULL,"109"
"2019-01-29","male","2460"
"2019-01-29","female","675"
"2019-01-30",NULL,"90"
"2019-01-30","male","1945"
"2019-01-30","female","525"
"2019-01-31",NULL,"51"
"2019-01-31","male","1307"
"2019-01-31","female","289"
"2019-02-01",NULL,"65"
"2019-02-01","male","1731"
"2019-02-01","female","417"
"2019-02-02",NULL,"109"
"2019-02-02","male","1112"
"2019-02-02","female","358"
"2019-02-03",NULL,"268"
"2019-02-03","male","1381"
"2019-02-03","female","446"
"2019-02-04",NULL,"297"
"2019-02-04","male","3415"
"2019-02-04","female","1074"
"2019-02-05",NULL,"654"
"2019-02-05","male","4039"
"2019-02-05","female","1207"
"2019-02-06",NULL,"156"
"2019-02-06","male","3012"
"2019-02-06","female","897"
"2019-02-07",NULL,"125"
"2019-02-07","male","2830"
"2019-02-07","female","785"
"2019-02-08",NULL,"281"
"2019-02-08","male","2862"
"2019-02-08","female","721"
"2019-02-09",NULL,"175"
"2019-02-09","male","1294"
"2019-02-09","female","356"
"2019-02-10",NULL,"190"
"2019-02-10","male","1345"
"2019-02-10","female","442"
"2019-02-11",NULL,"108"
"2019-02-11","male","2925"
"2019-02-11","female","764"
"2019-02-12",NULL,"59"
"2019-02-12","male","1669"
"2019-02-12","female","444"
"2019-02-13",NULL,"70"
"2019-02-13","male","2052"
"2019-02-13","female","514"
"2019-02-14",NULL,"89"
"2019-02-14","male","2790"
"2019-02-14","female","754"
"2019-02-15",NULL,"152"
"2019-02-15","male","2576"
"2019-02-15","female","667"
"2019-02-16",NULL,"351"
"2019-02-16","male","1486"
"2019-02-16","female","513"
"2019-02-17",NULL,"296"
"2019-02-17","male","1380"
"2019-02-17","female","421"
"2019-02-18",NULL,"30"
"2019-02-18","male","761"
"2019-02-18","female","164"
"2019-02-19",NULL,"79"
"2019-02-19","male","2160"
"2019-02-19","female","562"
"2019-02-20",NULL,"80"
"2019-02-20","male","2435"
"2019-02-20","female","649"
"2019-02-21",NULL,"94"
"2019-02-21","male","2222"
"2019-02-21","female","591"
"2019-02-22",NULL,"199"
"2019-02-22","male","2803"
"2019-02-22","female","748"
"2019-02-23",NULL,"264"
"2019-02-23","male","1641"
"2019-02-23","female","508"
"2019-02-24",NULL,"79"
"2019-02-24","male","811"
"2019-02-24","female","188"
"2019-02-25",NULL,"66"
"2019-02-25","male","2272"
"2019-02-25","female","561"
"2019-02-26",NULL,"62"
"2019-02-26","male","2373"
"2019-02-26","female","618"
"2019-02-27",NULL,"75"
"2019-02-27","male","2317"
"2019-02-27","female","589"
"2019-02-28",NULL,"63"
"2019-02-28","male","1847"
"2019-02-28","female","431"
"2019-03-01",NULL,"129"
"2019-03-01","male","2485"
"2019-03-01","female","587"
"2019-03-02",NULL,"28"
"2019-03-02","male","686"
"2019-03-02","female","120"
"2019-03-03",NULL,"168"
"2019-03-03","male","1314"
"2019-03-03","female","371"
"2019-03-04",NULL,"38"
"2019-03-04","male","1016"
"2019-03-04","female","206"
"2019-03-05",NULL,"63"
"2019-03-05","male","2098"
"2019-03-05","female","565"
"2019-03-06",NULL,"70"
"2019-03-06","male","2054"
"2019-03-06","female","501"
"2019-03-07",NULL,"59"
"2019-03-07","male","2195"
"2019-03-07","female","508"
