"rentdate","rentyear","volume"
"2019-01-01","2019","1305"
"2019-01-02","2019","2632"
"2019-01-03","2019","3005"
"2019-01-04","2019","3397"
"2019-01-05","2019","786"
"2019-01-06","2019","1631"
"2019-01-07","2019","2874"
"2019-01-08","2019","2981"
"2019-01-09","2019","3385"
"2019-01-10","2019","3332"
"2019-01-11","2019","2640"
"2019-01-12","2019","1236"
"2019-01-13","2019","1169"
"2019-01-14","2019","3008"
"2019-01-15","2019","3310"
"2019-01-16","2019","3555"
"2019-01-17","2019","3144"
"2019-01-18","2019","3292"
"2019-01-19","2019","1377"
"2019-01-21","2019","155"
"2019-01-22","2019","969"
"2019-01-23","2019","1813"
"2019-01-24","2019","1493"
"2019-01-25","2019","3019"
"2019-01-26","2019","1731"
"2019-01-27","2019","1913"
"2019-01-28","2019","3268"
"2019-01-29","2019","3244"
"2019-01-30","2019","2560"
"2019-01-31","2019","1647"
"2019-02-01","2019","2213"
"2019-02-02","2019","1579"
"2019-02-03","2019","2095"
"2019-02-04","2019","4786"
"2019-02-05","2019","5900"
"2019-02-06","2019","4065"
"2019-02-07","2019","3740"
"2019-02-08","2019","3864"
"2019-02-09","2019","1825"
"2019-02-10","2019","1977"
"2019-02-11","2019","3797"
"2019-02-12","2019","2172"
"2019-02-13","2019","2636"
"2019-02-14","2019","3633"
"2019-02-15","2019","3395"
"2019-02-16","2019","2350"
"2019-02-17","2019","2097"
"2019-02-18","2019","955"
"2019-02-19","2019","2801"
"2019-02-20","2019","3164"
"2019-02-21","2019","2907"
"2019-02-22","2019","3750"
"2019-02-23","2019","2413"
"2019-02-24","2019","1078"
"2019-02-25","2019","2899"
"2019-02-26","2019","3053"
"2019-02-27","2019","2981"
"2019-02-28","2019","2341"
"2019-03-01","2019","3201"
"2019-03-02","2019","834"
"2019-03-03","2019","1853"
"2019-03-04","2019","1260"
"2019-03-05","2019","2726"
"2019-03-06","2019","2625"
"2019-03-07","2019","2762"
"2019-03-08","2019","2867"
"2019-03-09","2019","2106"
"2019-03-10","2019","670"
"2019-03-11","2019","3733"
"2019-03-12","2019","3868"
"2019-03-13","2019","3892"
"2019-03-14","2019","4505"
"2019-03-15","2019","4583"
"2019-03-16","2019","2728"
"2019-03-17","2019","2337"
"2019-03-18","2019","3774"
"2019-03-19","2019","4127"
"2019-03-20","2019","4528"
"2019-03-21","2019","4448"
"2019-03-22","2019","2026"
"2019-03-23","2019","2274"
"2019-03-24","2019","3619"
"2019-03-25","2019","4579"
"2019-03-26","2019","4392"
"2019-03-27","2019","4431"
"2019-03-28","2019","4864"
"2019-03-29","2019","4196"
"2019-03-30","2019","5924"
"2019-03-31","2019","2637"
"2019-04-01","2019","4698"
"2019-04-02","2019","5501"
"2019-04-03","2019","4918"
"2019-04-04","2019","5357"
"2019-04-05","2019","4868"
"2019-04-06","2019","6227"
"2019-04-07","2019","5708"
"2019-04-08","2019","2778"
"2019-04-09","2019","4446"
"2019-04-10","2019","5112"
"2019-04-11","2019","6169"
"2019-04-12","2019","5734"
"2019-04-13","2019","7081"
"2019-04-14","2019","6480"
"2019-04-15","2019","4649"
"2019-04-16","2019","6479"
"2019-04-17","2019","7267"
"2019-04-18","2019","5543"
"2019-04-19","2019","7450"
"2019-04-20","2019","3650"
"2019-04-21","2019","5370"
"2019-04-22","2019","3508"
"2019-04-23","2019","6243"
"2019-04-24","2019","7951"
"2019-04-25","2019","8312"
"2019-04-26","2019","3373"
"2019-04-27","2019","4654"
"2019-04-28","2019","4058"
"2019-04-29","2019","7379"
"2019-04-30","2019","5731"
"2019-05-01","2019","7244"
"2019-05-02","2019","5454"
"2019-05-03","2019","6074"
"2019-05-04","2019","5386"
"2019-05-05","2019","4649"
"2019-05-06","2019","7883"
"2019-05-07","2019","7842"
"2019-05-08","2019","8909"
"2019-05-09","2019","8415"
"2019-05-10","2019","7120"
"2019-05-11","2019","8162"
"2019-05-12","2019","1464"
"2019-05-13","2019","5208"
"2019-05-14","2019","4803"
"2019-05-15","2019","7929"
"2019-05-16","2019","8749"
"2019-05-17","2019","5847"
"2019-05-18","2019","9009"
"2019-05-19","2019","5891"
"2019-05-20","2019","8468"
